frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,5.0,[1097.94921875 579.8543701171875 1393.859375 868.119873046875],[1203.9451904296875 776.0634155273438 1288.494873046875 819.2015991210938],0.5885025858879089,NW51TSU,0.05200593985901017
0,3.0,[376.1898498535156 684.8038330078125 714.9019775390625 991.1561279296875],[487.0357360839844 876.9904174804688 599.8663940429688 925.809814453125],0.5656446814537048,MA13NRU,0.5000296923312892
2,3.0,[375.1796236868911 690.0868967695883 716.1125385090081 1000.1106919059448],[482.54150390625 891.082763671875 594.5885009765625 936.5218505859375],0.5089924335479736,NA13NRU,0.6450944788744215
3,5.0,[1098.6801384694722 588.1383272777547 1394.8112741227837 879.1178038792542],[1205.3592529296875 782.6288452148438 1292.1170654296875 825.568359375],0.5034037828445435,CO51YSU,0.17777804993805438
5,5.0,[1094.6330714103551 589.5225454745937 1396.4704384362135 884.1866788371128],[1204.28173828125 791.0109252929688 1293.091796875 830.9119873046875],0.5661753416061401,MW51YSU,0.03397106696618217
5,3.0,[367.92365356141175 699.2435973025654 715.7698833129693 1016.0170264837097],[472.95098876953125 895.2945556640625 595.6072998046875 947.429443359375],0.47473451495170593,NA13HPV,0.15894764155599445
7,3.0,[362.9096371391039 704.1753560134771 713.6518827977137 1026.9792344522616],[468.53485107421875 903.0719604492188 593.0419921875 955.522705078125],0.5669044256210327,NA13MRU,0.21957921630593571
8,3.0,[359.81617671966575 707.0448061768586 713.4772703108879 1030.7057199931319],[477.4433288574219 912.73095703125 585.6956176757812 959.6868896484375],0.5477023124694824,NA13NRU,0.40171099632964913
10,5.0,[1097.3674372019857 598.3604866238791 1411.0148266217532 899.2225298164904],[1212.281982421875 800.7235107421875 1298.32763671875 847.85009765625],0.6262698769569397,MV51VSV,0.41185102708657967
12,5.0,[1096.3701953363993 602.3048438702567 1408.3024222916392 904.6812065233319],[1212.1534423828125 809.4107666015625 1298.1282958984375 850.5327758789062],0.5784075856208801,NI31WSV,0.03582654340729224
17,3.0,[338.0425017557743 735.031860851986 699.0127762407394 1063.0111115617349],[449.7756042480469 941.62060546875 581.2830200195312 996.260009765625],0.4436500668525696,NA13NRU,0.4771695504951753
18,3.0,[335.87781240379206 740.9639761570916 696.829307152264 1068.3703856721359],[451.4922180175781 950.659423828125 578.4644775390625 1003.294921875],0.569129467010498,NA13NRU,0.3093548114673477
19,5.0,[1099.8526227372627 624.843168016007 1415.8713036835434 931.4786487685051],[1216.3817138671875 829.4641723632812 1308.487060546875 873.7504272460938],0.61995530128479,ND51VSU,0.1836972763045212
20,5.0,[1101.5739902885457 625.2108855092644 1419.949659362499 933.5034178823608],[1216.9383544921875 836.1908569335938 1307.017822265625 876.6666870117188],0.6284236311912537,CO51YSU,0.23307866892027462
21,5.0,[1102.2398623871866 626.1445601998505 1422.4500325651873 936.352382599483],[1217.8531494140625 840.3006591796875 1310.2161865234375 881.47412109375],0.6464629173278809,CD51YSU,0.19448367793742263
21,3.0,[330.1495653790199 753.0716399907233 693.7956534060355 1076.6611586066197],[441.41949462890625 963.8237915039062 576.87744140625 1020.2037963867188],0.6104791760444641,NA13NRU,0.7624955192432391
22,3.0,[328.1256768888403 755.117226928139 692.4674908439288 1077.4144412238707],[437.28790283203125 962.0062866210938 568.6473999023438 1018.5664672851562],0.6404950618743896,NA13NRU,0.3778778274009135
25,3.0,[324.78929560200066 762.7925086002489 690.2824068185073 1077.8898349382841],[431.74896240234375 981.3739013671875 566.5036010742188 1037.0760498046875],0.6216627955436707,NA13NRU,0.22106339458450192
28,3.0,[320.61732999162 773.2945377239812 689.4817813937777 1078.558039568491],[436.0736389160156 991.6309204101562 559.038818359375 1045.9912109375],0.6643831729888916,MA13MRU,0.5825915593452361
29,3.0,[317.52712068984613 777.1410844362262 687.1854218660955 1078.8127283922279],[428.76470947265625 998.08154296875 560.2679443359375 1052.9102783203125],0.6515433192253113,NA13NRU,0.4835979633953132
33,3.0,[311.45752118013786 792.361970791769 682.9476649557113 1078.0826652537544],[423.8748779296875 1019.633056640625 561.260009765625 1076.28076171875],0.647788941860199,MA13NRU,0.36696805004301186
33,5.0,[1107.4760669927703 653.2346984370902 1436.495560481116 982.3252752634642],[1223.1905517578125 878.43603515625 1318.3944091796875 922.3436279296875],0.6240121722221375,MI51WSU,0.07127445747257032
34,5.0,[1107.6572916234115 655.2986374051889 1436.7071200844155 984.5496556349519],[1225.6973876953125 882.7033081054688 1318.11962890625 924.6245727539062],0.6091402173042297,MO51MSU,0.042195209732600415
43,6.0,[566.9504154269971 572.1307463176064 856.456618317173 801.0311758092131],[675.8815307617188 710.723876953125 757.5524291992188 753.42041015625],0.27649644017219543,CX15OGJ,0.22597324683051923
48,5.0,[1113.5344307006724 695.8841070039228 1461.5053728963278 1041.7988429512914],[1238.113525390625 937.311767578125 1336.3778076171875 981.9664306640625],0.7124320864677429,XI51YSU,0.030882522226501785
54,6.0,[552.3089372881432 592.3764031207254 853.5891952015857 833.9086371175961],[652.9647827148438 738.1177368164062 745.4595947265625 782.7075805664062],0.2877705693244934,GI15OCJ,0.41244956788339626
57,6.0,[544.9290433157693 597.7888936962775 852.3025662440524 840.7524816497753],[650.50537109375 747.2044067382812 738.9729614257812 785.91162109375],0.3827243745326996,GI15OCJ,0.3000695774436968
58,5.0,[1118.8934567828996 726.4278631915311 1477.6220818031147 1074.414532675434],[1246.614990234375 974.8500366210938 1349.2672119140625 1020.0708618164062],0.6593912243843079,IV51VSU,0.17032948574046877
61,5.0,[1123.4890493326138 734.1768589268862 1479.2584905885242 1075.2076055350446],[1250.8294677734375 985.4800415039062 1355.8272705078125 1032.6170654296875],0.720534086227417,MV51VSU,0.3772720257936734
62,6.0,[538.2723221028666 609.2298561321863 849.1557661613829 853.2218500278855],[654.4585571289062 755.6818237304688 740.9736938476562 799.5379638671875],0.34325364232063293,GX15OGJ,0.3350938576706696
65,5.0,[1126.5839495069222 747.8292275812228 1482.1448530918078 1076.7760938489175],[1255.6414794921875 1003.2911376953125 1362.361572265625 1052.1793212890625],0.7207894325256348,MI31WSV,0.00990554031206003
67,5.0,[1130.1186748285472 751.5490631551263 1485.710631824093 1076.125224724011],[1257.65966796875 1013.4205322265625 1362.9306640625 1061.8275146484375],0.7055404186248779,MV51VSU,0.24062414108503524
72,6.0,[527.4655612075358 631.5328938560838 844.3560473490859 881.5244730855779],[640.9776000976562 787.8240966796875 735.3726806640625 828.330322265625],0.3970429599285126,GX15OGJ,0.10787145717518581
73,6.0,[525.2821237046342 633.0182918993233 842.4734581352827 883.3613704240269],[641.6180419921875 786.90625 732.5454711914062 828.633056640625],0.48024794459342957,GX15OGJ,0.31532421092666085
77,6.0,[521.113822696776 641.3493096142424 843.5298874496625 895.0781977284721],[636.1127319335938 797.4448852539062 725.3587036132812 841.7606201171875],0.5980390906333923,GX15OGJ,0.34631630590435863
93,6.0,[489.4315373193472 682.9677877089755 841.7728108039266 952.7558444274459],[613.14208984375 851.3816528320312 718.998291015625 897.2129516601562],0.5093696117401123,CX15OCJ,0.5677561772881432
94,6.0,[488.2649726260358 683.8453370772382 842.9155018231893 954.7046170002078],[612.972900390625 855.2169799804688 708.2623901367188 896.7778930664062],0.436113566160202,GX15OCJ,0.3987154396579398
97,6.0,[482.25268313515693 691.8073453884515 840.4849892304919 968.4830128335884],[607.5086059570312 866.2371826171875 713.1632080078125 906.9283447265625],0.5889932513237,GX15OGJ,0.4674540025183034
98,6.0,[480.6618806113083 695.7609707541632 840.1146759518936 973.2762944235272],[609.7864379882812 870.8690185546875 710.484375 913.6505126953125],0.6410908102989197,CX15OGJ,0.34565643915253835
99,6.0,[479.3085980860243 699.6425070755627 839.8781717878718 978.0094538723176],[602.6068725585938 875.6918334960938 713.0291748046875 918.9043579101562],0.43324530124664307,GX15OGJ,0.47205906177986606
100,6.0,[477.98031071924163 703.1535094353032 838.20509448412 981.1237320596485],[599.6072387695312 873.2018432617188 711.0928344726562 918.4061889648438],0.577830970287323,GX15OGJ,0.2681067490456124
101,6.0,[475.937106638834 705.575276283563 838.0857433602691 985.2441729800914],[600.4413452148438 882.86572265625 707.5048828125 924.3132934570312],0.5624121427536011,GX15QCJ,0.38367288719566495
102,6.0,[473.33008964696825 709.4004797536764 837.0166185364023 990.0484017146047],[604.5806274414062 886.4730834960938 704.2592163085938 928.1834106445312],0.6059774160385132,GX15OGJ,0.14248872891225997
